client_id,contrat_id,position_id,isin,libelle,classe_actif,zone_geo,secteur,devise,quantite,date_premier_achat,valorisation_courante_eur,poids_dans_contrat_pct
CLI00005,CTR00029,POS00043,FR0010000033,Fonds Actions Europe Value,Actions,Europe,Diversifié,EUR,373.3665,2020-04-18,35354.28,78.0
CLI00005,CTR00029,POS00044,FR0010000022,Fonds Actions France Croissance,Actions,France,Diversifié,EUR,71.6363,2024-08-02,7773.13,17.15
CLI00005,CTR00029,POS00045,FR0010000077,Fonds Actions Émergents,Actions,Émergents,Diversifié,EUR,16.7889,2024-02-16,2199.09,4.85
CLI00005,CTR00030,POS00046,FR0010000088,Fonds Obligations Euro IG,Obligations,Europe,Investment Grade,EUR,86.9248,2025-08-31,11441.6,23.14
CLI00005,CTR00030,POS00047,FR0010000077,Fonds Actions Émergents,Actions,Émergents,Diversifié,EUR,43.2492,2023-05-05,5757.68,11.64
CLI00005,CTR00030,POS00048,LU0010000044,Fonds Actions Monde ESG,Actions,Monde,Diversifié,EUR,10.1955,2024-06-16,1291.82,2.61
CLI00005,CTR00030,POS00049,FR0010000033,Fonds Actions Europe Value,Actions,Europe,Diversifié,EUR,72.8498,2023-09-28,6784.53,13.72
CLI00005,CTR00030,POS00050,FR0010000011,Fonds € Sécurité Plus,Fonds €,France,,EUR,2.7083,2025-08-14,347.33,0.7
CLI00005,CTR00030,POS00051,FR0010000143,Fonds Small Caps Europe,Actions,Europe,Small Caps,EUR,195.6831,2023-10-23,23825.34,48.18
CLI00005,CTR00031,POS00052,LU0010000154,Fonds Actions Santé Monde,Actions,Monde,Santé,EUR,138.0288,2025-05-07,17920.85,9.12
CLI00005,CTR00031,POS00053,LU0010000099,Fonds Obligations High Yield,Obligations,Monde,High Yield,EUR,575.9275,2025-05-01,65006.27,33.07
CLI00005,CTR00031,POS00054,LU0010000121,Fonds Diversifié Flexible,Diversifié,Monde,Diversifié,EUR,167.0346,2025-11-17,22354.65,11.37
CLI00005,CTR00031,POS00055,FR0010000110,SCPI Pierre Rendement,Immobilier,France,Immobilier,EUR,352.5327,2025-05-16,43932.39,22.35
CLI00005,CTR00031,POS00056,FR0010000088,Fonds Obligations Euro IG,Obligations,Europe,Investment Grade,EUR,436.4866,2025-09-18,47350.27,24.09
CLI00008,CTR00045,POS00057,FR0010000011,Fonds € Sécurité Plus,Fonds €,France,,EUR,38.6579,2023-10-20,4088.63,82.0
CLI00008,CTR00045,POS00058,LU0010000099,Fonds Obligations High Yield,Obligations,Monde,High Yield,EUR,9.6335,2024-01-30,897.5,18.0
CLI00009,CTR00052,POS00059,FR0010000011,Fonds € Sécurité Plus,Fonds €,France,,EUR,248.0913,2024-04-02,25192.94,36.0
CLI00009,CTR00052,POS00060,FR0010000077,Fonds Actions Émergents,Actions,Émergents,Diversifié,EUR,150.1197,2023-11-25,14281.83,20.41
CLI00009,CTR00052,POS00061,FR0010000165,Fonds Monétaire Euro,Monétaire,Europe,,EUR,71.8569,2025-02-03,6101.68,8.72
CLI00009,CTR00052,POS00062,FR0010000088,Fonds Obligations Euro IG,Obligations,Europe,Investment Grade,EUR,141.3184,2023-06-19,11469.82,16.39
CLI00009,CTR00052,POS00063,LU0010000066,Fonds Actions Tech USA,Actions,États-Unis,Technologie,USD,81.955,2025-06-17,9208.88,13.16
CLI00009,CTR00052,POS00064,FR0010000143,Fonds Small Caps Europe,Actions,Europe,Small Caps,EUR,26.6099,2025-12-15,3725.23,5.32
CLI00009,CTR00053,POS00065,FR0010000033,Fonds Actions Europe Value,Actions,Europe,Diversifié,EUR,1104.0691,2018-09-15,104127.74,89.13
CLI00009,CTR00053,POS00066,FR0010000022,Fonds Actions France Croissance,Actions,France,Diversifié,EUR,34.9067,2024-03-31,3784.37,3.24
CLI00009,CTR00053,POS00067,FR0010000077,Fonds Actions Émergents,Actions,Émergents,Diversifié,EUR,102.5677,2019-07-26,8909.37,7.63
CLI00010,CTR00059,POS00068,FR0010000011,Fonds € Sécurité Plus,Fonds €,France,,EUR,1094.9059,2025-12-09,108359.11,45.0
CLI00010,CTR00059,POS00069,FR0010000033,Fonds Actions Europe Value,Actions,Europe,Diversifié,EUR,50.2005,2025-10-03,6577.15,2.73
CLI00010,CTR00059,POS00070,FR0010000143,Fonds Small Caps Europe,Actions,Europe,Small Caps,EUR,482.0092,2025-11-11,55924.97,23.22
CLI00010,CTR00059,POS00071,LU0010000066,Fonds Actions Tech USA,Actions,États-Unis,Technologie,USD,801.4456,2025-12-05,69936.79,29.04
CLI00010,CTR00060,POS00072,FR0010000077,Fonds Actions Émergents,Actions,Émergents,Diversifié,EUR,101.2107,2025-11-17,13090.58,12.55
CLI00010,CTR00060,POS00073,FR0010000022,Fonds Actions France Croissance,Actions,France,Diversifié,EUR,845.2099,2025-12-20,72968.95,69.96
CLI00010,CTR00060,POS00074,FR0010000033,Fonds Actions Europe Value,Actions,Europe,Diversifié,EUR,132.5552,2025-12-12,18245.86,17.49
CLI00010,CTR00061,POS00075,LU0010000044,Fonds Actions Monde ESG,Actions,Monde,Diversifié,EUR,103.2056,2025-12-27,13053.29,4.52
CLI00010,CTR00061,POS00076,FR0010000143,Fonds Small Caps Europe,Actions,Europe,Small Caps,EUR,287.0168,2025-09-10,30966.94,10.72
CLI00010,CTR00061,POS00077,FR0010000110,SCPI Pierre Rendement,Immobilier,France,Immobilier,EUR,46.4088,2025-10-04,6011.99,2.08
CLI00010,CTR00061,POS00078,FR0010000132,Fonds Matières Premières,Matières Prem.,Monde,Énergie/Or,EUR,555.0676,2025-12-20,64137.22,22.21
CLI00010,CTR00061,POS00079,LU0010000066,Fonds Actions Tech USA,Actions,États-Unis,Technologie,USD,30.8685,2025-10-26,3066.42,1.06
CLI00010,CTR00061,POS00080,LU0010000154,Fonds Actions Santé Monde,Actions,Monde,Santé,EUR,1810.8515,2025-09-30,171541.43,59.4
